name	scientific_name	type	comment
mustard	Sinapis alba	vegetable	see brassicas entry for more info. mustard acts as a trap crop in broccoli.[*citation needed*]
wormwood	Artemisia absinthium	herb	wormwood should be used with caution around most vegetables since it does contain toxins.[12]
parsnip	Pastinaca sativa	vegetable	the flowers of the parsnip plant left to seed will attract a variety of predatory insects to the garden, they are particularly helpful when left under fruit trees, the predators attacking codling moth and light brown apple moth. the root also contains myristricin, which is toxic to fruit flies, house flies, red spider mite, pea aphids, a simple blender made extraction of three blended parsnips roots to one litre of water through a food processor (not one for preparing food) and left overnight, strained and use within a few days.
snapdragon	Antirrhinum	flower	
chili pepper	Capsicum	fruit	
thyme	Thymus vulgaris	herb	because it attracts syrphidae it reduces aphids through predation.[69]
chervil	Anthriscus cerefolium	herb	loves shade, fortunately it grows well with shade-tolerant food plants; will make radishes grown near it taste spicier
cedar	Cedrus	tree	
petunia	Petunia x hybrida	flower	is a trap crop almost identical to geraniums in function
grape	Vitis spp.	fruit	
vetch	Vicia	vegetable	
sunflower	Helianthus annuus	flower	was grown as a companion for corn (maize) before modern europeans arrived in the americas, supposedly increases their production, ants herd aphids onto sunflowers, keeping them off neighboring plants. works as a trap plant for thrips keeping them off of bell peppers.[74] planting near swan plants help sunflowers grow rapidly.
pepper	Solanaceae, Capsicum	vegetable	pepper plants like high humidity, which can be helped along by planting with some kind of dense-leaf or ground-cover companion, like marjoram and basil; they also need direct sunlight, but their fruit can be harmed by it...pepper plants grown together, or with tomatoes, can shelter the fruit from sunlight, and raises the humidity level. sunflowers, when in bloom at the right time, sheltered beneficial insects which lowered thrips populations.[73]
pansy	Viola x wittrockiana	flower	a good and nice-smelling flower that really attracts ants. it is like the viola plant, but has two or three colors in flowers. helps alliums and onions, which repels the white butterfly.
bay laurel	Laurus nobilis	tree	
chamomile	Matricaria recutita	herb	growing near herbs will increase their oil production.
tobacco	Nicotiana tabacum	herb	
sow thistle	Sonchus	flower	
sage	Salvia officinalis	herb	
squash	Cucurbitaceae	vegetable	*cucurbits are a family of plants that includes melons, cucumbers, gourds, pumpkins, and squash*
daffodil	Narcissus	flower	All Narcissus species contain the alkaloid poison lycorine, mostly in the bulb but also in the leaves.
garlic	Allium sativum	herb	see alliums entry for more info. peas and garlic when planted closely together suppress each other's growth; however the profit over land area used is higher.[47] tarragon makes garlic grow rapidly.
sweet pea	Lathyrus odoratus	flower	an annual climbing plant, which is like the edible pea. makes a good decoration in your garden or fence.
spurrey	Spergula	flower	
summer savory	Satureja hortensis	herb	also delays germination of certain foul herbs
Echinacea	Echinacea	herb	
pigweed	Amaranthus	vegetable	
wheat	Triticum	vegetable	
pine	Pinus	tree	
hedge mustard	Sisymbrium officinale	herb	
atriplex	Atriplex	vegetable	they are able to grow in areas affected by soil salination
rhubarb	R. hybridum	fruit	
brassica	Brassica	vegetable	*brassicas are a family of plants which includes broccoli, brussels sprouts, cabbage, cauliflower, chinese cabbage, kohlrabi, radish, and turnip.* thyme, nasturtiums, and onion showed good resistance to cabbage worm, weevil and cabbage looper.[30]
peanut	Arachis hypogaea	other	peanuts encourage growth of corn and squash[92]
kentucky bluegrass	Poa pratensis	herb	
Angelica archangelica	Angelica archangelica	vegetable	
Dianthus	Dianthus caryophyllus	flower	
alfalfa	Medicago sativa	other	used by farmers to reduce cotton pests, a good crop to improve soil; fixes nitrogen like beans do. also breaks up hardpan and other tough soil. alfalfa has demonstrated some allelopathic effects to tomato seedlings[85]
Cosmos	Cosmos	flower	
lobelia	Lobelia	flower	
kohlrabi	Brassica oleracea v. gongylodes	vegetable	see brassicas entry for more info
caraway	Carum carvi	herb	
alyssum	Lobularia maritima	flower	because they attract syrphidae they help reduce aphids through predation. [69]
gourd	Cucurbitaceae	fruit	
chard	Beta vulgaris ssp. cicla	vegetable	
cauliflower	Brassica oleracea	vegetable	one row of spinach alternating at 60 cm from each row of cauliflower proved mutually beneficial.[*citation needed*] see brassicas for more info. see peas regarding their mutualism with cauliflower.
yarrow	Achillea millefolium	herb	may increase the essential oil production of some herbs. also improves soil quality, use the leaves to enrich compost, or as mulch. because it attracts syrphidae it reduces aphids through predation.[69]
tarragon	Artemisia dracunculus	herb	its scent is disliked by most pests, and this plant is also thought to have nurse plant properties, enhancing the growth and flavor of crops grown with it.
nasturtium	Tropaeolum majus	flower	trap crops for aphids, is among the best at attracting predatory insects, deters many pests of cucurbits
geranium	Pelargonium spp.	flower	a trap crop, attracting pests away from roses and grape vines, distracts beet leafhoppers, carrier of the curly top virus, keep away from solanaceous plants like eggplant, and tobacco
beet	Beta vulgaris	vegetable	good for adding minerals to the soil through composting leaves which have up to 25% magnesium. runner or pole beans and beets stunt each other's growth.
southernwood	Artemisia abrotanum	herb	controls cabbage moths and malaria mosquitoes.
cabbage	Brassica oleracea / Brassica chinensis	vegetable	see brassicas entry for more info. if using clover as an intercrop it should be sown after cabbage transplant so as not to affect crop yield. nasturtiums repel cabbage moths[22]
horseradish	Armoracia rusticana	vegetable	
passion fruit	Passiflora edulis	fruit	
californian poppy	Eschscholzia californica	flower	because they attract syrphidae they help reduce aphids through predation. [69]
marigold	Tagetes patula, T. erecta, T. minuta	flower	marigolds are a wonder-drug of the companion plant world, invoking the saying "plant them everywhere in your garden". french marigolds (t. patula) produce a pesticidal chemical from their roots, so strong it lasts years after they are gone. mexican marigolds (t. erecta) do the same, but are so strong they will inhibit the growth of some more tender herbs. stinking roger (t. minuta) has also been found effective against certain perennial weeds.[97] same with lupin, planting nearby roses causes them to grow vigorously.
rose	Rosa spp.	flower	
rye-grass	Lolium	herb	
black walnut	Juglans nigra	tree	
sudan grass	Sorghum x drummondii	vegetable	
flax	Linum usitatissimum	herb	flax contains tannin and linseed oils which may offend the colorado potato bug[92]
cress	Lepidium sativum	herbs	
cotton	Gossypium	other	
sorghum	Sorghum	vegetable	
blackberry	Rubus subg. Rubus 	fruit	
dill	Anethum graveolens	herb	one of the few plants said to grow with fennel.[*citation needed*] see fennel for info about intercropping.
fennel	Foeniculum vulgare	herb	Fennel is not friendly and is allelopathic to most garden plants, inhibiting growth or causing them to bolt. It actually kills many plants. Dill is the only thing you can plant with fennel. Other than that plant it by itself. On a positive note the foliage and flowers attract beneficials such as ladybugs, syrphid flies, tachninid flies, beneficial parasitoid wasps and hoverflies Fennel is a good flea repellent. An old saying says to "plant fennel near your kennel" to deter fleas. Dried fennel leaves provide additional flea repelling insurance when put inside the dog house or kennel.
oak	Quercus	tree	
african spider plant	Cleome gynandra	vegetable	
parsley	Petroselinum crispum	herb	sacrificially attracts insects that feed on tomatoes
rape	Brassica napus subsp. napus	vegetable	
dandelion	Taraxacum	vegetable	
zinnia	Zinnia	flower	attracts hummingbirds that eat whiteflies, attracts pollinators
daisy	Bellis perennis	vegetable	
celery	Apium graveolens	vegetable	aster flowers, can transmit the aster yellows disease
apricot	Prunus armeniaca	fruit	a fungus that peppers are prone to can infect apricot trees causing a lot of harm.
lavender	Lavandula angustifolia, L. dentata, L. stoechas	herb	
foxglove	Digitalis	flower	Foxglove has medicinal uses but is also very toxic to humans and other animals, and consumption can even lead to death.
soybean	Glycine max	vegetable	a mixture of corn, mungbean, and sunflower was found to rid soybeans of aphids.[51] snap beans act as a trap crop for mexican bean beetles in soybeans.[*citation needed*]
Sericea lespedeza	Sericea lespedeza	flower	It is native to Asia and eastern Australia[3] and it is present elsewhere as an introduced species and sometimes an invasive plant.
dewberry	Rubus	fruit	
crownvetch	Securigera varia	flower	Crownvetch is toxic to horses and other non-ruminants because of the presence of nitroglycosides.
potato	Solanum tuberosum	vegetable	horseradish increases the disease resistance of potatoes. it repels the potato bug.[22] garlic was shown to be more effective than fungicides on late potato blight.[77] peas were shown to reduce the density of colorado potato beetles.[7]
lettuce	Lactuca sativa	vegetable	mints (including hyssop, sage, and various "balms") repel slugs, a bane of lettuce and cabbages.[*citation needed*] broccoli when intercropped with lettuce was shown to be more profitable than either crop alone.[33]
aster	Aster	flower	
chrysanthemum	Chrysanthemum	flower	
corn	Zea mays	vegetable	provides beans with a trellis, is protected from predators and dryness by cucurbits, in the three sisters technique
barley	Hordeum vulgare	vegetable	
pumpkin	Cucurbita pepo	vegetable	radishes can be used as a trap crop against flea beetles, cucurbita can be used in the three sisters technique. nasturtiums repel squash bugs.[12]
spearmint	Mentha spicata	herb	controls ants and aphids, has same general companion properties as other mints.
tomato	Solanaceae	vegetable	*nightshades are a family of plants which include tomatoes, tobacco, chili peppers (including bell peppers), potatoes, eggplant, and others*
mint	Mentha	herb	
zucchini	Cucurbita pepo	fruit	
fenugreek	T. foenum-graecum	vegetable	
basil	Ocimum basilicum	herb	is said to make tomatoes taste better, chamomile and anise are supposed to increase the essential oils in many herbs like basil
eggplant	Solanum melongena	vegetable	marigolds will deter nematodes.
common rue	Ruta graveolens	herb	
brussels sprout	Brassica oleracea	vegetable	
melon	Cucumis melo	fruit	
buckwheat	Fagopyrum esculentum	vegetable	
tansy	Tanacetum vulgare	flower	toxic to people and many animals, don't plant it where livestock browse. is reputed to generally repel insects (except for nectar-eating types).
marjoram	Origanum majorana	herb	
carrot	Daucus carota	vegetable	tomatoes grow better with carrots, but may stunt the carrots' growth. beans provide the nitrogen carrots need more than some other vegetables. aromatic companion plants repel carrot fly. sage, rosemary, and radishes are recommended by *some* as companion plants, but listed by others as incompatible. alliums inter-planted with carrots confuse onion and carrot flies. for the beneficial insect-attracting properties of carrots to work, they need to be allowed to flower; otherwise, use the wild carrot, queen anne's lace, for the same effect. flax produces an oil that may protect root vegetables like carrots from some pests.
snap bean		vegetable	
bee balm	Monarda spp.	flower	
valerian	Valeriana officinalis	herb	
bush bean	Phaseolus vulgaris	vegetable	lettuce, potato, tomato, other legumes, crucifers, or cucurbits *increase* sclerotinia in the soil and should be avoided before and after snap beans. [18] see the entry for "legumes" for more info
baby's breath	Gypsophila paniculata	flower	because they attract syrphidae they help reduce aphids through predation. [69]
blueberry	Vaccinium spp.	fruit	pine and oak trees create the acidic soil blueberries need. strawberries and dewberries create healthy ground cover, clover fixes nitrogen for the blueberries' high needs, yarrow and bay laurel repel unhealthy insects. each of the herbal companions listed also like the acidic soil the blueberry plant needs.
radish	Raphanus sativus	vegetable	radishes can be used as a trap crop against flea beetles. radishes grown with lettuce taste better.[12]
onion	Allium	vegetable	alliums are a family of plants which include onions, garlic, leeks, shallots, chives, and others.
cucumber	Cucumis sativus	vegetable	sow 2 or 3 radish seeds in with cucumbers to repel cucumber beetles.[12] one study showed a 75% reduction in cucumber beetles with the concurrent seeding of amaranth.[59] various sprays from lettuce, asparagus, malabar spinach, and celery were found to reduce whiteflies.[50] see cucurbits entry for more info
jimson weed	Datura stramonium	fruit	It is an aggressive invasive weed in temperate climates across the world.[2] D. stramonium has frequently been employed in traditional medicine to treat a variety of ailments. It has also been used as a hallucinogen (of the anticholinergic/antimuscarinic, deliriant type), taken entheogenically to cause intense, sacred or occult visions.[2][7] It is unlikely ever to become a major drug of abuse owing to effects upon both mind and body frequently perceived as being highly unpleasant, giving rise to a state of profound and long-lasting disorientation or delirium (anticholinergic syndrome) with a potentially fatal outcome. It contains tropane alkaloids which are responsible for the psychoactive effects, and may be severely toxic.
peppermint	Mentha piperita	herb	repels cabbage flies, has same general companion properties as other mints
okra	Abelmoschus esculentus	vegetable	okra and sweet potato are mutually beneficial when planted simultaneously.
borage	Borago officinalis	herb	predict a square metre for its adult size. borage is a good companion for a wide variety of plants.[17]
lemon grass	Cymbopogon citratus	herb	has been shown to reduce cutworms in eggplant in laboratory trials but needs field testing
lupin	Lupinus	flower	this wildflower is a legume, hosting bacteria that fixes nitrogen in the soil, fertilizing it for neighboring plants. same with marigold, planting nearby roses causes them to grow vigorously.
spinach	Spinacia oleracea	vegetable	the peas and beans provide natural shade for the spinach. see cauliflower notes regarding mutualism with spinach.[*citation needed*]
leek	Allium ampeloprasum v. porrum	vegetable	see alliums entry for more info
gladiolus	Gladiolus	flower	
lily	Lilium	flower	Not all lilies are toxic, and some are more toxic to animals, especially cats, than to humans.
